FOODS_1_001,FOODS_1_002,FOODS_1_003,FOODS_1_004,FOODS_1_005,FOODS_1_006,FOODS_1_008,FOODS_1_009,FOODS_1_010,FOODS_1_011,FOODS_1_012,FOODS_1_013,FOODS_1_014,FOODS_1_015,FOODS_1_016,FOODS_1_017,FOODS_1_018,FOODS_1_019,FOODS_1_020,FOODS_1_021,FOODS_1_022,FOODS_1_023,FOODS_1_024,FOODS_1_025,FOODS_1_026,FOODS_1_027,FOODS_1_028,FOODS_1_029,FOODS_1_030,FOODS_1_031,FOODS_1_032,FOODS_1_033,FOODS_1_034,FOODS_1_035,FOODS_1_036,FOODS_1_037,FOODS_1_038,FOODS_1_039,FOODS_1_040,FOODS_1_041,FOODS_1_042,FOODS_1_043,FOODS_1_044,FOODS_1_045,FOODS_1_046,FOODS_1_047,FOODS_1_048,FOODS_1_049,FOODS_1_050,FOODS_1_051,FOODS_1_052,FOODS_1_053,FOODS_1_054,FOODS_1_055,FOODS_1_056,FOODS_1_057,FOODS_1_058,FOODS_1_059,FOODS_1_060,FOODS_1_061,FOODS_1_062,FOODS_1_063,FOODS_1_064,FOODS_1_065,FOODS_1_066,FOODS_1_067,FOODS_1_068,FOODS_1_069,FOODS_1_070,FOODS_1_071,FOODS_1_072,FOODS_1_073,FOODS_1_074,FOODS_1_075,FOODS_1_076,FOODS_1_077,FOODS_1_078,FOODS_1_079,FOODS_1_080,FOODS_1_081,FOODS_1_082,FOODS_1_083,FOODS_1_084,FOODS_1_085,FOODS_1_086,FOODS_1_087,FOODS_1_088,FOODS_1_089,FOODS_1_090,FOODS_1_091,FOODS_1_092,FOODS_1_093,FOODS_1_094,FOODS_1_095,FOODS_1_096,FOODS_1_097,FOODS_1_098,FOODS_1_099,FOODS_1_101,FOODS_1_102,FOODS_1_103,FOODS_1_104,FOODS_1_105,FOODS_1_106,FOODS_1_107,FOODS_1_108,FOODS_1_109,FOODS_1_110,FOODS_1_111,FOODS_1_112,FOODS_1_113,FOODS_1_114,FOODS_1_115,FOODS_1_116,FOODS_1_117,FOODS_1_118,FOODS_1_119,FOODS_1_120,FOODS_1_121,FOODS_1_122
7.9772744,1.9886382,4.0183244,0.0,18.059378,12.969387,0.0,0.0,0.5625,6.012096,0.0,19.991934,0.0,6.0126457,4.0128293,0.0,19.948032,41.19944,0.0,0.0,0.0,0.0,8.9428215,0.0,7.0186057,0.0,0.014662743,5.0040326,4.0076046,15.038488,28.060862,0.0,0.0,11.011366,21.030981,7.0057755,12.010084,0.0,26.059196,0.0,0.0,0.0,41.815258,7.018606,28.948874,9.060125,0.0,7.0210752,0.0,0.0,0.0,5.9854302,24.0198,0.0,0.0,0.0,0.0,0.0,0.0,21.096231,11.995232,14.050319,4.0131927,7.998353,4.015766,21.95382,0.0,0.0,0.0,0.0,0.0,7.96188,0.0,1.018606,3.9886353,0.0,0.0,0.0,3.9908366,1.0,0.0,24.986258,0.0,28.973598,20.938423,0.0,22.005136,0.0,5.975811,7.994957,0.0,0.0,20.030056,7.9921203,31.033718,0.0,0.0,0.0,4.0,9.017594,0.0,13.076613,0.0,16.049675,0.0,8.018879,0.0,0.0,0.0,8.9637165,0.0,6.0062327,0.0,14.992025,18.041975,0.0,0.9879023,0.0,15.037395,0.0
12.999997,1.9886382,2.9791071,0.0,22.005142,16.998724,0.0,0.0,0.0,13.976174,0.0,20.937506,0.0,5.987904,5.9966984,0.0,15.006791,45.123188,0.0,0.0,0.0,0.0,8.001473,0.0,8.976171,0.0,0.05865097,1.9935858,17.98763,8.020534,28.060862,0.0,2.0005498,7.002844,13.094746,7.0057755,4.997984,0.0,15.070388,0.0,0.0,0.0,36.96168,16.042526,19.050226,11.019068,0.0,10.003486,0.0,0.0,0.0,3.9902866,21.07259,0.0,0.0,0.0,0.0,0.0,0.0,20.01988,9.972786,11.017866,5.0165,3.0192454,18.013561,26.096043,0.0,1.0201603,0.0,0.0,0.0,13.020989,0.0,13.992391,5.0179596,0.0,0.0,0.0,5.0060506,1.5,0.0,16.990646,0.0,34.158363,20.938423,0.0,25.040323,0.0,5.0322533,10.0131,0.0,0.0,15.976357,6.0011015,18.985342,0.0,0.0,0.0,5.999998,4.001558,0.0,6.0645103,0.0,16.993773,0.0,30.040869,0.0,0.0,0.0,8.9637165,0.0,3.003113,0.0,3.0120938,8.968847,0.0,2.0207121,0.0,11.065257,0.0
12.999997,3.0113645,9.006598,0.0,18.059378,21.028046,0.0,0.0,0.0,8.979107,0.0,19.04638,0.0,4.0084305,5.9966984,0.0,19.032997,49.04694,0.0,0.0,0.0,0.0,20.94501,0.0,10.98149,0.0,0.16862202,8.0011,9.009347,9.023098,33.11181,0.0,6.9375,5.022729,7.9362097,6.0172286,16.038305,0.0,13.029598,0.0,0.0,0.0,32.108154,10.026586,20.917892,7.958212,0.0,15.968289,0.0,0.0,0.0,5.004765,27.998528,0.0,0.0,0.0,0.0,0.0,0.0,21.096231,5.021265,14.050319,9.029693,10.011181,9.0067835,18.018692,0.0,1.0201603,0.0,0.0,0.0,16.006691,0.0,7.022999,2.0157633,0.0,0.0,0.0,3.9908366,1.0,0.0,7.9955935,0.0,40.868034,17.03812,0.99963343,24.091814,0.0,23.98186,3.0272198,0.0,0.0,12.041878,12.002199,10.953069,0.0,0.0,0.0,4.0,2.9870791,0.0,28.995977,0.0,13.060023,0.0,25.97159,0.0,0.0,0.0,10.0252,0.0,0.0,0.0,1.0268546,8.968847,0.0,3.0086145,0.0,13.051326,0.0
14.994318,4.999999,9.006598,0.0,35.05645,27.953451,0.0,0.0,0.0,11.985155,0.0,22.963705,0.0,0.9897351,3.0208945,0.0,25.072317,51.98975,0.0,0.0,0.0,0.0,14.00256,0.0,4.010633,0.0,0.5058651,1.9935858,8.978283,16.041054,56.963528,0.0,2.0005498,9.997159,17.062876,8.982863,7.0120997,0.0,18.994951,0.0,0.0,0.0,50.028957,16.042526,25.02676,19.95675,0.0,15.968289,0.0,0.0,0.0,10.00953,22.988268,0.0,0.0,0.0,0.0,0.0,0.0,32.074883,6.9739757,15.970856,6.0197983,10.011181,6.0236416,30.03117,0.0,1.0201603,0.0,0.0,0.0,7.96188,0.0,7.022999,6.0043983,0.0,0.0,0.0,7.0014644,1.0,0.0,18.989544,1.0000001,49.10265,35.92376,0.99963343,29.972504,0.0,12.030246,7.994957,0.0,0.0,7.9881787,10.992669,12.961143,0.0,0.0,0.0,5.999998,6.988637,0.0,33.923393,0.0,13.060023,0.99853367,22.02199,0.0,0.0,0.0,16.98387,0.0,3.9868946,0.0,3.9704874,8.968847,0.0,0.9879023,0.0,20.9956,0.0
11.965907,4.0056834,4.988274,0.0,20.942816,14.984048,0.0,0.0,0.0,11.985155,0.0,22.963705,0.0,0.9897351,3.0208945,0.02199459,15.921825,31.8805,0.0,0.0,0.0,0.0,12.002203,0.0,12.986803,0.0,0.8064518,1.9935858,4.0076046,27.971598,44.897358,0.0,4.0044904,2.9943154,24.999086,2.0200706,9.026206,0.0,16.954184,0.0,0.0,0.0,38.828457,22.058466,14.9413595,10.039597,0.0,21.001097,0.0,0.0,0.0,10.00953,19.009523,0.0,0.0,0.0,0.0,0.0,0.0,51.018414,9.972786,10.007053,6.0197983,5.985518,6.0236416,24.024931,0.0,0.0,0.0,0.0,0.0,17.997158,0.0,6.0044003,3.0450878,0.0,0.0,0.0,3.0106323,1.5,0.0,20.98846,1.9999999,63.13196,26.07037,0.99963343,29.972504,0.0,23.98186,9.004033,0.0,0.0,18.957026,4.0100822,18.985342,0.0,0.0,0.0,3.000001,10.990194,0.0,43.020157,0.0,8.0248375,2.0014665,19.987358,0.0,0.0,0.0,14.035276,0.0,5.022451,0.0,9.994683,18.980568,0.0,6.017229,0.0,37.02602,0.0
9.971596,10.000002,6.9974318,0.0,25.950886,19.013386,0.0,0.0,0.0,6.012096,0.0,10.94153,0.0,2.9939504,1.9838691,0.043988228,15.921825,58.856316,0.0,0.0,0.0,0.0,24.004406,0.0,11.984143,0.0,1.0043993,6.997617,5.995877,18.046185,47.984066,0.0,2.0005498,14.971589,27.975178,7.9943166,10.96573,0.0,13.971497,0.0,0.0,0.0,33.97488,21.055819,25.960606,6.9787407,0.0,7.0210752,0.0,0.0,0.0,5.004765,20.041056,0.0,0.0,0.0,0.0,0.0,0.0,35.949696,3.9751656,12.02868,7.023096,9.004764,6.0236416,32.102283,0.0,0.0,0.0,0.0,0.0,7.96188,0.0,10.990194,3.9457495,0.0,0.0,3.9985337,5.0060506,1.5,0.0,11.993409,0.0,53.067436,26.07037,1.9959679,22.953619,0.0,12.030246,7.994957,0.0,0.0,20.030056,1.991019,16.064524,0.0,0.0,0.0,5.999998,10.990194,0.0,29.943544,0.0,16.049675,2.0014665,11.011003,0.0,0.0,0.0,16.98387,0.0,9.993128,0.0,6.9825897,18.980568,0.0,4.984419,0.0,22.981668,0.0
7.9772744,0.9943191,6.9974318,0.0,35.967007,18.006056,0.0,0.0,0.0,6.012096,0.0,19.04638,0.0,0.0,1.9838691,0.07331371,15.921825,37.766125,0.0,0.0,0.0,0.0,12.943551,0.0,11.984143,0.0,1.1656895,5.0040326,15.036293,6.0153904,33.953617,0.0,2.0005498,14.005681,21.030981,7.9943166,9.995968,0.0,15.070388,0.0,0.0,0.0,39.948483,10.026586,17.929626,16.038849,0.0,7.0210752,0.0,0.0,0.0,6.9999084,33.892967,17.934378,0.0,0.0,0.0,0.0,0.0,29.061138,5.9976206,14.050319,6.0197983,12.024009,9.0067835,14.912036,0.0,1.0201603,0.0,0.0,0.0,17.997158,0.0,6.0044003,7.033723,0.0,0.0,0.0,12.007515,0.0,0.0,25.985699,0.0,43.00295,21.964802,0.99963343,28.075512,0.0,12.030246,5.976814,0.0,0.0,20.030056,10.992669,16.977268,0.0,0.0,0.0,1.999998,9.017594,0.0,24.068539,0.0,13.060023,2.0014665,22.02199,0.0,0.0,0.0,6.015123,0.0,6.0062327,0.0,3.9704874,13.036101,0.0,3.0086145,0.0,16.03042,0.0
5.9829535,8.011363,2.0091667,0.0,11.989002,19.013386,0.0,0.0,0.0,15.967194,0.0,24.044348,0.0,2.0042152,0.0,0.1026392,15.006791,31.8805,0.0,0.0,0.0,0.0,4.000729,0.0,8.976171,0.0,1.3489733,1.9935858,5.995877,18.046185,19.081398,0.0,1.0002751,8.982952,18.05489,4.985705,2.0141158,0.0,16.954184,0.0,0.0,0.0,51.149033,12.0318985,25.960606,15.059379,0.0,7.0210752,0.0,0.0,0.0,15.994961,20.041056,0.0,0.0,0.0,0.0,0.0,0.0,40.03976,8.020066,8.996241,4.0131927,5.985518,2.007883,20.089804,0.0,0.0,0.0,0.0,0.0,10.035278,0.0,10.990194,4.932183,0.0,0.0,0.0,12.007515,0.9992668,0.0,25.985699,0.0,34.158363,28.944294,2.25,25.040323,0.0,9.985883,5.976814,0.0,0.0,18.003214,4.991568,18.985342,0.0,0.0,0.0,0.999999,5.9741583,0.0,32.028233,0.0,14.948217,2.0014665,13.045633,0.0,0.0,0.0,16.98387,0.0,3.9868946,0.0,11.021539,15.956201,0.0,4.984419,0.0,16.03042,0.0
9.971596,3.0113645,9.976539,0.0,20.032259,7.0513124,0.0,0.0,0.0,11.009164,0.0,35.93145,0.0,2.0042152,4.0128293,0.16862202,12.993676,21.090189,0.0,0.0,0.0,0.0,6.0011015,0.0,9.97883,0.0,1.4882698,5.0040326,8.015213,16.041054,24.974152,0.0,0.0,8.017044,22.022995,11.0029335,9.995968,0.0,8.006143,0.0,0.0,0.0,60.856136,4.010627,25.02676,11.019068,0.0,16.030426,0.0,0.0,0.0,6.9999084,17.978008,4.5271215,0.0,0.0,0.0,0.0,0.0,23.894693,14.994042,16.981668,11.967927,13.983871,6.998901,22.98936,0.0,0.0,0.0,0.0,0.0,9.040045,0.0,12.973792,3.0450878,0.0,0.0,0.0,3.9908366,1.5,0.0,18.989544,1.0000001,42.087975,21.964802,0.0,18.969948,0.0,8.963712,6.9858904,0.0,0.0,20.030056,10.992669,18.072575,0.0,0.0,0.0,0.0,10.990194,0.0,14.971772,0.0,19.039307,2.0014665,17.952711,0.0,0.0,0.0,8.9637165,0.0,21.953812,0.0,3.0120938,10.011735,0.0,4.984419,0.0,7.944274,0.0
11.005686,3.0113645,7.967372,0.0,20.942816,20.020716,0.0,0.0,0.5625,9.994135,0.0,22.01815,0.0,0.9897351,6.9886384,0.26392937,13.908734,30.899563,0.0,0.0,0.0,0.0,18.944653,0.0,3.007973,0.0,1.590909,1.0034823,6.9900107,7.017968,19.081398,0.0,0.0,17.000004,15.078824,3.0086172,7.981852,0.0,8.477081,0.0,0.0,0.0,57.122635,8.021254,31.93714,12.97801,0.0,11.991754,0.0,0.0,0.0,3.0096219,17.978008,20.023819,0.0,0.0,0.0,0.0,0.0,13.992394,19.945562,13.039493,4.0131927,4.979108,4.991018,15.947578,0.0,1.9939526,0.0,0.0,0.0,5.9714127,0.0,13.992391,0.9864388,0.0,0.0,0.0,3.9908366,1.5,0.0,24.986258,0.0,28.058662,26.07037,0.0,14.986252,0.0,8.0201645,5.976814,0.0,0.0,12.041878,4.991568,20.08065,0.0,0.0,0.0,0.999999,2.9870791,0.0,39.040337,0.0,33.987545,0.0,22.02199,0.0,0.0,0.0,10.968747,0.0,6.9900146,0.0,3.9704874,10.011735,0.0,3.9965167,0.0,9.930361,0.0
